epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7961999773979187,0.4517238438129425,0.001,0.809995174407959,0.7677345871925354,0.8365036249160767,0.3698000907897949,0.8694332242012024,0.7873510718345642
1,0.831599235534668,0.37979191541671753,0.001,0.8586009740829468,0.7892448902130127,0.8396739363670349,0.34938764572143555,0.8725985288619995,0.7910174131393433
2,0.8442660570144653,0.35601478815078735,0.001,0.8745618462562561,0.7994964718818665,0.8387681245803833,0.3447868227958679,0.909699022769928,0.7479376792907715
3,0.8513911366462708,0.34396153688430786,0.001,0.8826032876968384,0.8066803812980652,0.8365036249160767,0.341459184885025,0.8810021281242371,0.7736021876335144
4,0.8574983477592468,0.328872412443161,0.001,0.8871209025382996,0.8157293200492859,0.8405797481536865,0.340258926153183,0.9137738347053528,0.7479376792907715
5,0.8577245473861694,0.3250458538532257,0.001,0.893670916557312,0.8081501722335815,0.8500906229019165,0.3322400748729706,0.914847195148468,0.7681026458740234
6,0.8605519533157349,0.313678115606308,0.001,0.894538164138794,0.8136447072029114,0.8496376872062683,0.3267967998981476,0.8829464912414551,0.8020164966583252
7,0.8668853640556335,0.311117023229599,0.001,0.8994497656822205,0.8226950168609619,0.8478261232376099,0.3222872018814087,0.9098805785179138,0.7681026458740234
8,0.8691473007202148,0.30332568287849426,0.001,0.9071590900421143,0.8194698095321655,0.8586956858634949,0.3309605121612549,0.8792600035667419,0.8276810050010681
9,0.8647365570068359,0.30972468852996826,0.001,0.9009600877761841,0.8160183429718018,0.8500906229019165,0.3250678479671478,0.8974894881248474,0.7864344716072083
