epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8956118822097778,0.24419046938419342,1e-05,0.9207703471183777,0.8633142709732056,0.8686594367027283,0.29357248544692993,0.903323233127594,0.8221814632415771
1,0.8976476192474365,0.23881421983242035,1e-05,0.9253804087638855,0.8625028729438782,0.8704710602760315,0.29193127155303955,0.9094608426094055,0.819431722164154
2,0.9008143544197083,0.23324456810951233,1e-05,0.9239922165870667,0.8709086775779724,0.8713768124580383,0.29240408539772034,0.9096447229385376,0.8212648630142212
3,0.901606023311615,0.23111198842525482,1e-05,0.9267041683197021,0.8693559169769287,0.8704710602760315,0.29344138503074646,0.9136691093444824,0.814848780632019
4,0.9014928936958313,0.22663810849189758,1e-05,0.9259259104728699,0.8701625466346741,0.8695652484893799,0.2915528416633606,0.9002991318702698,0.8276810050010681
5,0.9045464992523193,0.22056730091571808,1e-05,0.931456446647644,0.8709086775779724,0.866847813129425,0.2915976643562317,0.9021190404891968,0.819431722164154
6,0.9052250981330872,0.21769246459007263,1e-05,0.9307317137718201,0.8732265830039978,0.8709239363670349,0.29360392689704895,0.9129098653793335,0.8166819214820862
7,0.9080525040626526,0.2154572606086731,1e-05,0.9325213432312012,0.8771768808364868,0.8718297481536865,0.2916533648967743,0.908906877040863,0.8230980634689331
8,0.9123501777648926,0.20959880948066711,1e-05,0.9364231824874878,0.8826624155044556,0.8709239363670349,0.29356035590171814,0.9078947305679321,0.8221814632415771
9,0.91212397813797,0.20624220371246338,1e-05,0.9396088123321533,0.8788017630577087,0.8722826242446899,0.29624783992767334,0.920041561126709,0.8120989799499512
10,0.9150645136833191,0.20391498506069183,5e-06,0.9368065595626831,0.8881774544715881,0.8704710602760315,0.29265886545181274,0.9069766402244568,0.8221814632415771
11,0.9146121144294739,0.2009999006986618,5e-06,0.9397180080413818,0.8840612769126892,0.8713768124580383,0.2927478849887848,0.9030968546867371,0.8285976052284241
12,0.9158561825752258,0.19967320561408997,5e-06,0.937666118144989,0.8887107372283936,0.8682065606117249,0.294089674949646,0.9048583507537842,0.819431722164154
