fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.8400900900900901,0.8471991356382979,0.8391171993911719,0.838971838971839,0.846571866913456,0.8400900900900901,0.8391531769910148
2,resnet50v2,0.8400900900900901,0.8552362707535122,0.8386910197869102,0.837952039478757,0.8542896344620482,0.8400900900900901,0.8382035748447961
3,resnet50v2,0.8333333333333334,0.8416988416988417,0.8322678843226788,0.8319695605924229,0.8410205572367735,0.8333333333333334,0.8321741265035593
4,resnet50v2,0.8738738738738738,0.8766046311651619,0.8733028919330289,0.8735042735042735,0.8762145229806921,0.8738738738738738,0.8735966735966735
5,resnet50v2,0.8738738738738738,0.8742149868910432,0.8736681887366818,0.8737816764132553,0.8741012825519868,0.8738738738738738,0.8738277751435645
1,densenet121,0.8490990990990991,0.8508578431372549,0.8486149162861492,0.848760771753222,0.8505647191308957,0.8490990990990991,0.8488574367091868
2,densenet121,0.8603603603603603,0.8649366697559469,0.8596042617960427,0.8597199290650034,0.864428190934215,0.8603603603603603,0.8598480153240747
3,densenet121,0.8265765765765766,0.8277922819613281,0.8261491628614916,0.826258416973701,0.8275643372016872,0.8265765765765766,0.8263588884272406
4,densenet121,0.8490990990990991,0.8546626984126984,0.8482496194824962,0.8482608762184578,0.8541063384813384,0.8490990990990991,0.8484132803785744
5,densenet121,0.8783783783783784,0.878974025181539,0.8781126331811263,0.8782573372600793,0.8788115760534042,0.8783783783783784,0.8783092120250646
1,efficientnetb0,0.8536036036036037,0.8564344262295083,0.8529984779299848,0.8531379922752416,0.8560484049623395,0.8536036036036037,0.8532497389940484
2,efficientnetb0,0.8490990990990991,0.8546626984126984,0.8482496194824962,0.8482608762184578,0.8541063384813384,0.8490990990990991,0.8484132803785744
3,efficientnetb0,0.8333333333333334,0.8390000620822383,0.8324505327245053,0.8323502398203898,0.8384516689775057,0.8333333333333334,0.8325237269109093
4,efficientnetb0,0.8355855855855856,0.8408978174603174,0.8347336377473364,0.8346722979693645,0.8403665942728443,0.8355855855855856,0.8348383502632228
5,efficientnetb0,0.8558558558558559,0.8561673068715323,0.8556468797564687,0.8557504873294347,0.8560634898663068,0.8558558558558559,0.8558031715926453
