epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7756741046905518,0.47974517941474915,0.001,0.7917705774307251,0.7392316460609436,0.8293269276618958,0.42224642634391785,0.854922354221344,0.7932692766189575
1,0.8537005186080933,0.3279685974121094,0.001,0.8760735988616943,0.8225806355476379,0.822115421295166,0.39915838837623596,0.864130437374115,0.764423131942749
2,0.8577165603637695,0.31872397661209106,0.001,0.8782287836074829,0.8273464441299438,0.8197115659713745,0.37986767292022705,0.8275861740112305,0.8076923489570618
3,0.8869764804840088,0.27070990204811096,0.001,0.8986731171607971,0.8682984113693237,0.822115421295166,0.377406507730484,0.898809552192688,0.7259615659713745
4,0.9013195633888245,0.21647578477859497,0.001,0.9227941632270813,0.8735499382019043,0.8341346383094788,0.37399840354919434,0.8677248954772949,0.7884615659713745
5,0.9139414429664612,0.2062034159898758,0.001,0.9302884936332703,0.8937644362449646,0.8245192766189575,0.3740910589694977,0.8648648858070374,0.7692307829856873
6,0.9254159331321716,0.19843366742134094,0.001,0.9324644804000854,0.9151162505149841,0.8293269276618958,0.38641974329948425,0.8407959938049316,0.8125000596046448
7,0.9437751173973083,0.16300643980503082,0.001,0.9513642191886902,0.9336437582969666,0.826923131942749,0.4752305746078491,0.9047619104385376,0.7307692766189575
8,0.954102098941803,0.12288320064544678,0.0005,0.9667062759399414,0.93988436460495,0.822115421295166,0.4612753391265869,0.898809552192688,0.7259615659713745
9,0.956970751285553,0.10363025218248367,0.0005,0.9611307978630066,0.9510489702224731,0.8125000596046448,0.4936337172985077,0.865168571472168,0.7403846383094788
