epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.93459552526474,0.1632034182548523,1e-05,0.9320276379585266,0.9363425970077515,0.848557710647583,0.3744009733200073,0.9050279855728149,0.7788462042808533
1,0.9661502838134766,0.10489271581172943,1e-05,0.9729093313217163,0.9582366943359375,0.8557692766189575,0.3723255395889282,0.897849440574646,0.8028846383094788
2,0.977624773979187,0.07952027767896652,1e-05,0.9813737273216248,0.9734411239624023,0.853365421295166,0.3809550106525421,0.888888955116272,0.8076923489570618
3,0.9856569170951843,0.06147608160972595,1e-05,0.9883177280426025,0.9825783967971802,0.8557692766189575,0.38865068554878235,0.9065934419631958,0.7932692766189575
4,0.9873780608177185,0.0517524853348732,1e-05,0.9906322956085205,0.9837208986282349,0.848557710647583,0.4238157570362091,0.909604549407959,0.7740384936332703
5,0.9931153059005737,0.04075862094759941,1e-05,0.9964870810508728,0.989534854888916,0.848557710647583,0.4227215349674225,0.9050279855728149,0.7788462042808533
6,0.9936890602111816,0.030566537752747536,1e-05,0.9953325390815735,0.9918604493141174,0.8509615659713745,0.4353468418121338,0.9055556058883667,0.7836538553237915
7,0.995983898639679,0.02246714197099209,5e-06,0.9965075850486755,0.9953488111495972,0.848557710647583,0.44632288813591003,0.9050279855728149,0.7788462042808533
8,0.9954102039337158,0.025916090235114098,5e-06,0.9976690411567688,0.9930394887924194,0.8437500596046448,0.4559527635574341,0.8950276374816895,0.7788462042808533
9,0.998278796672821,0.02086377702653408,5e-06,0.9976851940155029,0.9988412261009216,0.848557710647583,0.4406869113445282,0.9050279855728149,0.7788462042808533
